EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
valid_0000,1,1.0000,
valid_0001,1,1.0000,
valid_0002,1,1.0000,
valid_0003,1,1.0000,
valid_0004,1,1.0000,
valid_0005,1,1.0000,
valid_0006,1,1.0000,
valid_0007,1,1.0000,
valid_0008,1,1.0000,
valid_0009,1,1.0000,
valid_0010,1,1.0000,
valid_0011,1,1.0000,
valid_0012,1,1.0000,
valid_0013,1,1.0000,
valid_0014,1,1.0000,
valid_0015,1,1.0000,
valid_0016,1,1.0000,
valid_0017,1,1.0000,
valid_0018,1,1.0000,
valid_0019,1,1.0000,
valid_0020,1,1.0000,
valid_0021,1,1.0000,
valid_0022,1,1.0000,
valid_0023,1,1.0000,
valid_0024,1,1.0000,
valid_0025,1,1.0000,
valid_0026,1,1.0000,
valid_0027,1,1.0000,
valid_0028,1,1.0000,
valid_0029,1,0.8797,
valid_0030,1,1.0000,
valid_0031,1,1.0000,
valid_0032,1,1.0000,
valid_0033,1,1.0000,
valid_0034,1,1.0000,
valid_0035,1,1.0000,
valid_0036,1,1.0000,
valid_0037,1,1.0000,
valid_0038,1,1.0000,
valid_0039,1,1.0000,
valid_0040,1,1.0000,
valid_0041,1,1.0000,
valid_0042,1,0.8551,
valid_0043,1,1.0000,
valid_0044,1,1.0000,
valid_0045,1,1.0000,
valid_0046,1,1.0000,
valid_0047,1,1.0000,
valid_0048,1,1.0000,
valid_0049,1,1.0000,
valid_0050,1,1.0000,
valid_0051,1,1.0000,
valid_0052,1,1.0000,
valid_0053,1,1.0000,
valid_0054,1,0.9859,
valid_0055,1,1.0000,
valid_0056,1,1.0000,
valid_0057,1,1.0000,
valid_0058,1,1.0000,
valid_0059,1,1.0000,
valid_0060,1,1.0000,
valid_0061,1,1.0000,
valid_0062,1,1.0000,
valid_0063,1,1.0000,
valid_0064,1,1.0000,
valid_0065,1,1.0000,
valid_0066,1,1.0000,
valid_0067,1,1.0000,
valid_0068,1,1.0000,
valid_0069,1,1.0000,
valid_0070,1,1.0000,
