EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0001,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0002,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0003,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0004,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0005,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0006,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0007,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0008,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0009,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0010,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0011,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0012,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0013,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0014,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0015,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0016,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0017,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0018,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0019,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0020,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0021,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0022,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0023,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0024,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0025,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0026,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0027,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0028,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0029,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0030,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0031,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0032,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0033,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0034,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0035,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0036,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0037,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0038,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0039,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0040,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0041,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0042,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0043,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0044,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0045,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0046,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0047,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0048,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,DEVELOP PHOTORESIST
valid_0049,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0050,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DEVELOP PHOTORESIST
valid_0051,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0052,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0053,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0054,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0055,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0056,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0057,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0058,DEPOSIT METAL SEED,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0059,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0060,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0061,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0062,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0063,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0064,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0065,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0066,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0067,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0068,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0069,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0070,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0071,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0072,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0073,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0074,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0075,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0076,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0077,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0078,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0079,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0080,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0081,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0082,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0083,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0084,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0085,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0086,DEPOSIT METAL SEED,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0087,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0088,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0089,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0090,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0091,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0092,FILL VIA METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0093,MEASURE PAD OPENING,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0094,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,OXIDE ETCH,POLYSILICON ETCH
valid_0095,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0096,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0097,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0098,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
valid_0099,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0100,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0101,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0102,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0103,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0104,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0105,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0106,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0107,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0108,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0109,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0110,DEPOSIT METAL SEED,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0111,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0112,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0113,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0114,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0115,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0116,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0117,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0118,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0119,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0120,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0121,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0122,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0123,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0124,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0125,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0126,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0127,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0128,DEPOSIT METAL SEED,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
valid_0129,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0130,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
valid_0131,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
valid_0132,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0133,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,PATTERN INSPECTION LEVEL 1,POLY PATTERN INSPECTION,METAL PATTERN INSPECTION
