EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
valid_0000,1,0.9000,
valid_0001,1,0.5000,
valid_0002,1,0.9000,
valid_0003,1,0.9000,RULE_DEP_NO_CLEAN
valid_0004,1,0.9000,
valid_0005,0,0.1000,RULE_IMPLANT_NO_MASK
valid_0006,1,0.5000,
valid_0007,1,0.9000,RULE_DEP_NO_CLEAN
valid_0008,1,0.9000,
valid_0009,1,0.9000,RULE_DEP_NO_CLEAN
valid_0010,1,0.5000,
valid_0011,1,0.9000,
valid_0012,1,0.9000,RULE_DEP_NO_CLEAN
valid_0013,1,0.9000,RULE_DEP_NO_CLEAN
valid_0014,1,0.5000,
valid_0015,1,0.9000,
valid_0016,1,0.9000,RULE_DEP_NO_CLEAN
valid_0017,1,0.9000,RULE_DEP_NO_CLEAN
valid_0018,1,0.9000,RULE_DEP_NO_CLEAN
valid_0019,1,0.9000,RULE_DEP_NO_CLEAN
valid_0020,1,0.9000,RULE_DEP_NO_CLEAN
valid_0021,1,0.5000,
valid_0022,1,0.9000,
valid_0023,1,0.9000,RULE_DEP_NO_CLEAN
valid_0024,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0025,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0026,1,0.5000,
forbidden_0027,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0028,1,0.9000,
forbidden_0029,1,0.9000,
forbidden_0030,1,0.5000,
forbidden_0031,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0032,1,0.9000,
forbidden_0033,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0034,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0035,1,0.5000,
forbidden_0036,1,0.9000,
forbidden_0037,1,0.9000,
forbidden_0038,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0039,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0040,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0041,1,0.5000,
forbidden_0042,0,0.1000,RULE_DEP_NO_CLEAN
forbidden_0043,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0044,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0045,1,0.9000,
forbidden_0046,1,0.5000,
forbidden_0047,1,0.9000,
forbidden_0048,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0049,0,0.1000,RULE_IMPLANT_NO_MASK
