EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE VIA CD,MEASURE OPENING CD,DEVELOP PHOTORESIST,,
valid_0001,,,,,
valid_0002,,,,,
valid_0003,PAD WINDOW LITHO,STRIP RESIST,CLEAN AFTER FIELD ETCH,MEASURE OPENING CD,
valid_0004,CLEAN AFTER VIA ETCH,FINAL CLEAN,WAFER SURFACE CLEAN,RCA CLEAN 1,
valid_0005,PAD WINDOW LITHO,HARD BAKE,OXIDE ETCH,STRIP RESIST,CLEAN AFTER ETCH
valid_0006,METAL ETCH,ANNEAL METAL,MEASURE METAL THICKNESS,,
valid_0007,PAD WINDOW LITHO,STRIP RESIST,CLEAN AFTER ETCH,MEASURE OPENING CD,FIELD PATTERN INSPECTION
valid_0008,CLEAN AFTER VIA ETCH,WAFER SURFACE CLEAN,FINAL CLEAN,BACKSIDE ETCH CLEAN,
valid_0009,STRIP RESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,FINAL CLEAN,WAFER SORT TEST
valid_0010,METAL ETCH DRY,DEPOSIT METAL 1,POLYSILICON ANNEAL,MEASURE METAL THICKNESS,SPIN COAT PHOTORESIST
valid_0011,PATTERN INSPECTION LEVEL 1,HARD BAKE,MEASURE OPENING CD,VIA INSPECTION,METAL PATTERN INSPECTION
valid_0012,STRIP RESIST,CLEAN AFTER ETCH,MEASURE VIA CD,WET CLEAN RCA1,PRE CLEAN WAFER
valid_0013,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE PASSIVATION THICKNESS,INITIAL WAFER INSPECTION,WAFER SURFACE CLEAN
valid_0014,CLEAN AFTER ETCH,MEASURE VIA CD,WET CLEAN RCA1,PRE CLEAN WAFER,DRY WAFER
valid_0015,CLEAN AFTER ETCH,MEASURE PAD OPENING,FIELD PATTERN INSPECTION,SWITCHING TEST,FINAL CLEAN
valid_0016,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE VIA CD,MEASURE JUNCTION DEPTH,WET CLEAN RCA1
valid_0017,PAD WINDOW LITHO,STRIP PHOTORESIST,CLEAN AFTER FIELD ETCH,MEASURE PAD OPENING,
valid_0018,CLEAN AFTER VIA ETCH,CMP VIA FILL,FINAL CLEAN,RCA CLEAN 1,HF DIP
valid_0019,,,,,
valid_0020,CLEAN AFTER ETCH,WET CLEAN RCA2,PRE CLEAN WAFER,WAFER SURFACE CLEAN,HF DIP
valid_0021,STRIP RESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,FIELD PATTERN INSPECTION,SWITCHING TEST
valid_0022,FINAL CLEAN,METAL ETCH,ANNEAL METAL,POLYSILICON ANNEAL,MEASURE METAL THICKNESS
