EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
valid_0000,1,0.9000,RULE_DEP_NO_CLEAN
valid_0001,1,0.9000,
valid_0002,1,0.9000,
valid_0003,1,0.9000,
valid_0004,1,0.9000,RULE_DEP_NO_CLEAN
valid_0005,1,0.9000,RULE_DEP_NO_CLEAN
valid_0006,1,0.9000,
valid_0007,1,0.9000,
valid_0008,1,0.9000,
valid_0009,1,0.9000,
valid_0010,1,0.9000,
valid_0011,1,0.9000,RULE_DEP_NO_CLEAN
valid_0012,1,0.9000,RULE_DEP_NO_CLEAN
valid_0013,1,0.9000,RULE_DEP_NO_CLEAN
valid_0014,1,0.9000,
valid_0015,1,0.9000,RULE_DEP_NO_CLEAN
valid_0016,1,0.9000,RULE_DEP_NO_CLEAN
valid_0017,1,0.9000,RULE_DEP_NO_CLEAN
valid_0018,0,0.1000,RULE_IMPLANT_NO_MASK
valid_0019,1,0.9000,RULE_DEP_NO_CLEAN
valid_0020,1,0.9000,RULE_DEP_NO_CLEAN
valid_0021,1,0.9000,
valid_0022,1,0.9000,
valid_0023,1,0.9000,RULE_DEP_NO_CLEAN
valid_0024,1,0.9000,
valid_0025,1,0.9000,
valid_0026,1,0.9000,RULE_DEP_NO_CLEAN
valid_0027,1,0.9000,RULE_DEP_NO_CLEAN
valid_0028,1,0.9000,
valid_0029,1,0.9000,RULE_DEP_NO_CLEAN
valid_0030,1,0.9000,RULE_DEP_NO_CLEAN
valid_0031,1,0.9000,RULE_DEP_NO_CLEAN
valid_0032,1,0.9000,
valid_0033,1,0.9000,
valid_0034,1,0.9000,
valid_0035,1,0.9000,
valid_0036,1,0.9000,
valid_0037,1,0.9000,RULE_DEP_NO_CLEAN
valid_0038,1,0.9000,
valid_0039,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0040,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0041,1,0.9000,
forbidden_0042,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0043,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0044,1,0.9000,
forbidden_0045,0,0.1000,RULE_SHIP_BEFORE_TEST
forbidden_0046,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0047,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0048,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0049,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0050,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0051,1,0.9000,
forbidden_0052,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0053,0,0.1000,RULE_IMPLANT_NO_MASK
forbidden_0054,1,0.9000,
forbidden_0055,1,0.9000,
forbidden_0056,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0057,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0058,1,0.9000,
forbidden_0059,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0060,1,0.9000,
forbidden_0061,1,0.9000,
forbidden_0062,1,0.9000,
forbidden_0063,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0064,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0065,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0066,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0067,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0068,1,0.9000,
forbidden_0069,1,0.9000,
forbidden_0070,1,0.9000,
forbidden_0071,0,0.1000,RULE_TEST_BEFORE_PASSIVATION
forbidden_0072,1,0.9000,
forbidden_0073,1,0.9000,
forbidden_0074,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0075,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0076,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0077,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0078,1,0.9000,RULE_DEP_NO_CLEAN
forbidden_0079,1,0.9000,
