EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE VIA CD,MEASURE OPENING CD,MEASURE THICKNESS,LOT RELEASE,
valid_0001,PAD WINDOW LITHO,MEASURE VIA CD,STRIP RESIST,CLEAN AFTER ETCH,
valid_0002,DEPOSIT BARRIER METAL,ANNEAL METAL,METAL ETCH,MEASURE METAL THICKNESS,
valid_0003,PAD WINDOW LITHO,MEASURE VIA CD,STRIP RESIST,CLEAN AFTER POLY ETCH,
valid_0004,CLEAN AFTER ETCH,WAFER SURFACE CLEAN,PRE CLEAN WAFER,RCA CLEAN 1,HF DIP
valid_0005,PAD WINDOW LITHO,STRIP RESIST,CLEAN AFTER POLY ETCH,MEASURE VIA CD,
valid_0006,DEPOSIT BARRIER METAL,ANNEAL METAL,METAL ETCH,MEASURE METAL THICKNESS,PRE CLEAN WAFER
valid_0007,PAD WINDOW LITHO,STRIP RESIST,CLEAN AFTER ETCH,MEASURE VIA CD,
valid_0008,CLEAN AFTER ETCH,FRONTSIDE CLEAN,BACKSIDE ETCH CLEAN,,
valid_0009,STRIP RESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,CLEAN PAD OPENING,FINAL CLEAN
valid_0010,DEPOSIT METAL 1,ANNEAL METAL 1,METAL ETCH,,
valid_0011,PAD WINDOW LITHO,HARD BAKE,STRIP PHOTORESIST,CLEAN AFTER POLY ETCH,
valid_0012,STRIP RESIST,CLEAN AFTER ETCH,MEASURE VIA CD,,
valid_0013,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE PASSIVATION THICKNESS,WAFER SURFACE CLEAN,INITIAL WAFER INSPECTION
valid_0014,CLEAN AFTER ETCH,MEASURE VIA CD,PRE CLEAN WAFER,ANNEAL METAL,LIGHT ANNEAL
valid_0015,CLEAN AFTER ETCH,MEASURE PAD OPENING,FINAL CLEAN,PARAMETRIC TEST,FINAL CD INSPECTION
valid_0016,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE VIA CD,MEASURE VIA RESISTANCE,WAFER SURFACE CLEAN
valid_0017,PAD WINDOW LITHO,STRIP PHOTORESIST,CLEAN AFTER POLY ETCH,MEASURE PAD OPENING,FINAL CLEAN
valid_0018,CLEAN AFTER ETCH,MEASURE VIA CD,FRONTSIDE CLEAN,RCA CLEAN 1,HF DIP
valid_0019,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,MEASURE PASSIVATION THICKNESS,FINAL CLEAN
valid_0020,CLEAN AFTER ETCH,MEASURE VIA CD,FRONTSIDE CLEAN,RCA CLEAN 1,HF DIP
valid_0021,STRIP RESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,FINAL CLEAN,PARAMETRIC TEST
valid_0022,ANNEAL METAL,METAL ETCH,,,
valid_0023,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE VIA CD,CLEAN PAD OPENING,MEASURE SURFACE PARTICLES
valid_0024,METAL ETCH,ANNEAL METAL,,,
valid_0025,STRIP RESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,MEASURE RESISTIVITY,FINAL CLEAN
valid_0026,DEPOSIT BARRIER METAL,ANNEAL METAL 1,METAL ETCH,LOT RELEASE,SOFT BAKE
valid_0027,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,FINAL CLEAN,WAFER SORT TEST
valid_0028,DEPOSIT METAL SEED,ANNEAL METAL,METAL ETCH,MEASURE METAL THICKNESS,
valid_0029,STRIP RESIST,CLEAN AFTER ETCH,MEASURE PAD OPENING,MEASURE SURFACE PARTICLES,FINAL CLEAN
valid_0030,METAL ETCH,ANNEAL METAL,,,
valid_0031,MEASURE VIA CD,MEASURE CONTACT RESISTANCE,MEASURE SURFACE PLANARITY,MEASURE DIELECTRIC THICKNESS,MEASURE PASSIVATION QUALITY
valid_0032,METAL ETCH,DEPOSIT BARRIER METAL,ANNEAL METAL,,
valid_0033,PAD WINDOW LITHO,STRIP RESIST,CLEAN AFTER POLY ETCH,MEASURE VIA CD,
valid_0034,ANNEAL METAL,METAL ETCH,MEASURE METAL THICKNESS,,
valid_0035,PASSIVATION ETCH,PAD WINDOW LITHO,MEASURE VIA CD,STRIP PHOTORESIST,CLEAN AFTER POLY ETCH
valid_0036,MEASURE VIA CD,MEASURE OPENING CD,MEASURE GATE CD,MEASURE POLY THICKNESS,
valid_0037,PASSIVATION ETCH,PAD WINDOW LITHO,OXIDE ETCH,,
valid_0038,DEPOSIT BARRIER METAL,ANNEAL METAL 1,METAL ETCH,EPITAXIAL DEPOSITION,
valid_0039,STRIP PHOTORESIST,CLEAN AFTER ETCH,MEASURE VIA CD,MEASURE CONTACT RESISTANCE,FINAL CLEAN
