EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0000,MEASURE VIA CD
valid_0001,DEPOSIT INTERLEVEL DIELECTRIC
valid_0002,MEASURE VIA CD
valid_0003,FIELD PATTERN INSPECTION
valid_0004,CLEAN AFTER VIA ETCH
valid_0005,VIA INSPECTION
valid_0006,MEASURE VIA CD
valid_0007,DEPOSIT INTERLEVEL DIELECTRIC
valid_0008,CLEAN AFTER VIA ETCH
valid_0009,STRIP RESIST
valid_0010,MEASURE SURFACE UNIFORMITY
valid_0011,FIELD PATTERN INSPECTION
valid_0012,STRIP PHOTORESIST
valid_0013,STRIP RESIST
valid_0014,CLEAN AFTER VIA ETCH
valid_0015,CLEAN AFTER OXIDE ETCH
valid_0016,STRIP PHOTORESIST
valid_0017,FIELD PATTERN INSPECTION
valid_0018,CLEAN AFTER VIA ETCH
valid_0019,STRIP RESIST
valid_0020,CLEAN AFTER VIA ETCH
valid_0021,STRIP RESIST
valid_0022,IMPLANT P BODY
valid_0023,STRIP RESIST
valid_0024,MEASURE VIA CD
valid_0025,STRIP RESIST
valid_0026,MEASURE VIA CD
valid_0027,STRIP RESIST
valid_0028,IMPLANT SOURCE DRAIN
valid_0029,STRIP RESIST
valid_0030,MEASURE VIA CD
valid_0031,CLEAN AFTER OXIDE ETCH
valid_0032,MEASURE VIA CD
valid_0033,FIELD PATTERN INSPECTION
valid_0034,MEASURE VIA CD
valid_0035,OPEN PAD WINDOW
valid_0036,MEASURE VIA CD
valid_0037,POLYSILICON ETCH
valid_0038,MEASURE VIA CD
valid_0039,STRIP PHOTORESIST
valid_0040,CLEAN AFTER VIA ETCH
valid_0041,DEVELOP PHOTORESIST
valid_0042,STRIP PHOTORESIST
valid_0043,STRIP RESIST
valid_0044,STRIP RESIST
valid_0045,LOT RELEASE
valid_0046,CLEAN AFTER VIA ETCH
valid_0047,STRIP RESIST
valid_0048,HARD BAKE
valid_0049,DEPOSIT INTERLEVEL DIELECTRIC
valid_0050,HARD BAKE
valid_0051,DEPOSIT INTERLEVEL DIELECTRIC
valid_0052,MEASURE VIA CD
valid_0053,MEASURE FILM THICKNESS
valid_0054,MEASURE VIA CD
valid_0055,STRIP RESIST
valid_0056,MEASURE VIA CD
