EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE VIA CD,,,,
valid_0001,DEPOSIT INTERLEVEL DIELECTRIC,,,,
valid_0002,MEASURE VIA CD,,,,
valid_0003,FIELD PATTERN INSPECTION,,,,
valid_0004,CLEAN AFTER VIA ETCH,,,,
valid_0005,FIELD PATTERN INSPECTION,,,,
valid_0006,MEASURE VIA CD,,,,
valid_0007,DEPOSIT INTERLEVEL DIELECTRIC,,,,
valid_0008,CLEAN AFTER VIA ETCH,,,,
valid_0009,STRIP RESIST,,,,
valid_0010,IMPLANT N-TYPE,,,,
valid_0011,FIELD PATTERN INSPECTION,,,,
valid_0012,STRIP RESIST,,,,
valid_0013,STRIP RESIST,,,,
valid_0014,CLEAN AFTER VIA ETCH,,,,
valid_0015,CLEAN AFTER ETCH,,,,
valid_0016,STRIP PHOTORESIST,,,,
valid_0017,FIELD PATTERN INSPECTION,,,,
valid_0018,CLEAN AFTER VIA ETCH,,,,
valid_0019,STRIP RESIST,,,,
valid_0020,CLEAN AFTER VIA ETCH,,,,
valid_0021,STRIP RESIST,,,,
valid_0022,IMPLANT LDD,,,,
valid_0023,STRIP RESIST,,,,
valid_0024,MEASURE VIA CD,,,,
valid_0025,STRIP RESIST,,,,
valid_0026,MEASURE VIA CD,,,,
valid_0027,STRIP RESIST,,,,
valid_0028,DEPOSIT BARRIER METAL,,,,
valid_0029,STRIP RESIST,,,,
valid_0030,MEASURE VIA CD,,,,
valid_0031,CLEAN AFTER OXIDE ETCH,,,,
valid_0032,MEASURE VIA CD,,,,
valid_0033,FIELD PATTERN INSPECTION,,,,
valid_0034,MEASURE VIA CD,,,,
valid_0035,FIELD PATTERN INSPECTION,,,,
valid_0036,MEASURE VIA CD,,,,
valid_0037,FIELD PATTERN INSPECTION,,,,
valid_0038,MEASURE VIA CD,,,,
valid_0039,STRIP PHOTORESIST,,,,
valid_0040,CLEAN AFTER VIA ETCH,,,,
valid_0041,DEVELOP PHOTORESIST,,,,
valid_0042,STRIP PHOTORESIST,,,,
valid_0043,STRIP RESIST,,,,
valid_0044,STRIP RESIST,,,,
valid_0045,SOFT BAKE,,,,
