EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
valid_0000,1,0.9000,
valid_0001,1,0.9000,
valid_0002,1,0.9000,
valid_0003,1,0.9000,
valid_0004,1,0.9000,
valid_0005,1,0.9000,
valid_0006,1,0.9000,
valid_0007,1,0.9000,
valid_0008,1,0.9000,
valid_0009,1,0.9000,
valid_0010,1,0.9000,
valid_0011,1,0.9000,
valid_0012,1,0.9000,
valid_0013,1,0.9000,
valid_0014,1,0.9000,
valid_0015,1,0.9000,
valid_0016,1,0.9000,
valid_0017,1,0.9000,
valid_0018,1,0.9000,
valid_0019,1,0.9000,
valid_0020,1,0.9000,
valid_0021,1,0.9000,
valid_0022,1,0.9000,
valid_0023,1,0.9000,
valid_0024,1,0.9000,
valid_0025,1,0.9000,
valid_0026,1,0.9000,
valid_0027,1,0.9000,
valid_0028,1,0.9000,
valid_0029,1,0.9000,
valid_0030,1,0.9000,
valid_0031,1,0.9000,
valid_0032,1,0.9000,
valid_0033,1,0.9000,
valid_0034,1,0.9000,
valid_0035,1,0.9000,
valid_0036,1,0.9000,
valid_0037,1,0.9000,
valid_0038,1,0.9000,
valid_0039,1,0.9000,
valid_0040,1,0.9000,
valid_0041,1,0.9000,
valid_0042,1,0.9000,
valid_0043,1,0.9000,
valid_0044,1,0.9000,
valid_0045,1,0.9000,
valid_0046,1,0.9000,
valid_0047,1,0.9000,
valid_0048,1,0.9000,
valid_0049,1,0.9000,
valid_0050,1,0.9000,
valid_0051,1,0.9000,
valid_0052,1,0.9000,
valid_0053,1,0.9000,
valid_0054,1,0.9000,
valid_0055,1,0.9000,
valid_0056,1,0.9000,
valid_0057,1,0.9000,
valid_0058,1,0.9000,
valid_0059,1,0.9000,
valid_0060,1,0.9000,
valid_0061,1,0.9000,
valid_0062,1,0.9000,
valid_0063,1,0.9000,
valid_0064,1,0.9000,
valid_0065,1,0.9000,
valid_0066,1,0.9000,
valid_0067,1,0.9000,
valid_0068,1,0.9000,
valid_0069,1,0.9000,
valid_0070,1,0.9000,
valid_0071,1,0.9000,
valid_0072,1,0.9000,
valid_0073,1,0.9000,
valid_0074,1,0.9000,
valid_0075,1,0.9000,
valid_0076,1,0.9000,
valid_0077,1,0.9000,
valid_0078,1,0.9000,
valid_0079,1,0.9000,
valid_0080,1,0.9000,
valid_0081,1,0.9000,
valid_0082,1,0.9000,
valid_0083,1,0.9000,
valid_0084,1,0.9000,
valid_0085,1,0.9000,
valid_0086,1,0.9000,
valid_0087,1,0.9000,
valid_0088,1,0.9000,
valid_0089,1,0.9000,
valid_0090,1,0.9000,
valid_0091,1,0.9000,
valid_0092,1,0.9000,
valid_0093,1,0.9000,
valid_0094,1,0.9000,
valid_0095,1,0.9000,
valid_0096,1,0.9000,
valid_0097,1,0.9000,
valid_0098,1,0.9000,
valid_0099,1,0.9000,
forbidden_0100,1,0.9000,
forbidden_0101,1,0.9000,
forbidden_0102,1,0.9000,
forbidden_0103,1,0.9000,
forbidden_0104,1,0.9000,
forbidden_0105,1,0.9000,
forbidden_0106,1,0.9000,
forbidden_0107,1,0.9000,
forbidden_0108,1,0.9000,
forbidden_0109,1,0.9000,
forbidden_0110,1,0.9000,
forbidden_0111,1,0.9000,
forbidden_0112,1,0.9000,
forbidden_0113,1,0.9000,
forbidden_0114,1,0.9000,
forbidden_0115,1,0.9000,
forbidden_0116,1,0.9000,
forbidden_0117,1,0.9000,
forbidden_0118,1,0.9000,
forbidden_0119,1,0.9000,
forbidden_0120,1,0.9000,
forbidden_0121,1,0.9000,
forbidden_0122,1,0.9000,
forbidden_0123,1,0.9000,
forbidden_0124,1,0.9000,
forbidden_0125,1,0.9000,
forbidden_0126,1,0.9000,
forbidden_0127,1,0.9000,
forbidden_0128,1,0.9000,
forbidden_0129,1,0.9000,
forbidden_0130,1,0.9000,
forbidden_0131,1,0.9000,
forbidden_0132,1,0.9000,
forbidden_0133,1,0.9000,
forbidden_0134,1,0.9000,
forbidden_0135,1,0.9000,
forbidden_0136,1,0.9000,
forbidden_0137,1,0.9000,
forbidden_0138,1,0.9000,
forbidden_0139,1,0.9000,
forbidden_0140,1,0.9000,
forbidden_0141,1,0.9000,
forbidden_0142,1,0.9000,
forbidden_0143,1,0.9000,
forbidden_0144,1,0.9000,
forbidden_0145,1,0.9000,
forbidden_0146,1,0.9000,
forbidden_0147,1,0.9000,
forbidden_0148,1,0.9000,
forbidden_0149,1,0.9000,
forbidden_0150,1,0.9000,
forbidden_0151,1,0.9000,
forbidden_0152,1,0.9000,
forbidden_0153,1,0.9000,
forbidden_0154,1,0.9000,
forbidden_0155,1,0.9000,
forbidden_0156,1,0.9000,
forbidden_0157,1,0.9000,
forbidden_0158,1,0.9000,
forbidden_0159,1,0.9000,
forbidden_0160,1,0.9000,
forbidden_0161,1,0.9000,
forbidden_0162,1,0.9000,
forbidden_0163,1,0.9000,
forbidden_0164,1,0.9000,
forbidden_0165,1,0.9000,
forbidden_0166,1,0.9000,
forbidden_0167,1,0.9000,
forbidden_0168,1,0.9000,
forbidden_0169,1,0.9000,
forbidden_0170,1,0.9000,
forbidden_0171,1,0.9000,
forbidden_0172,1,0.9000,
forbidden_0173,1,0.9000,
forbidden_0174,1,0.9000,
forbidden_0175,1,0.9000,
forbidden_0176,1,0.9000,
forbidden_0177,1,0.9000,
forbidden_0178,1,0.9000,
forbidden_0179,1,0.9000,
forbidden_0180,1,0.9000,
forbidden_0181,1,0.9000,
forbidden_0182,1,0.9000,
forbidden_0183,1,0.9000,
forbidden_0184,1,0.9000,
forbidden_0185,1,0.9000,
forbidden_0186,1,0.9000,
forbidden_0187,1,0.9000,
forbidden_0188,1,0.9000,
forbidden_0189,1,0.9000,
forbidden_0190,1,0.9000,
forbidden_0191,1,0.9000,
forbidden_0192,1,0.9000,
forbidden_0193,1,0.9000,
forbidden_0194,1,0.9000,
forbidden_0195,1,0.9000,
forbidden_0196,1,0.9000,
forbidden_0197,1,0.9000,
forbidden_0198,1,0.9000,
forbidden_0199,1,0.9000,
