EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE VIA CD,,,,
valid_0001,DEPOSIT TUNGSTEN SEED,,,,
valid_0002,MEASURE VIA CD,,,,
valid_0003,VIA INSPECTION,,,,
valid_0004,CLEAN AFTER VIA ETCH,,,,
valid_0005,METAL PATTERN INSPECTION,,,,
valid_0006,MEASURE VIA CD,,,,
valid_0007,DEVELOP PHOTORESIST,,,,
valid_0008,CLEAN AFTER VIA ETCH,,,,
valid_0009,CLEAN AFTER ETCH,,,,
valid_0010,DEPOSIT BARRIER METAL,,,,
valid_0011,METAL PATTERN INSPECTION,,,,
valid_0012,STRIP PHOTORESIST,,,,
valid_0013,STRIP RESIST,,,,
valid_0014,CLEAN AFTER VIA ETCH,,,,
valid_0015,CLEAN AFTER ETCH,,,,
valid_0016,STRIP RESIST,,,,
valid_0017,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0018,CLEAN AFTER VIA ETCH,,,,
valid_0019,CLEAN AFTER ETCH,,,,
valid_0020,CLEAN AFTER VIA ETCH,,,,
valid_0021,CLEAN AFTER ETCH,,,,
valid_0022,DEPOSIT BARRIER METAL,,,,
valid_0023,RCA CLEAN 1,,,,
valid_0024,MEASURE VIA CD,,,,
valid_0025,STRIP RESIST,,,,
valid_0026,MEASURE VIA CD,,,,
valid_0027,STRIP RESIST,,,,
valid_0028,DEPOSIT BARRIER METAL,,,,
valid_0029,CLEAN AFTER ETCH,,,,
valid_0030,MEASURE VIA CD,,,,
valid_0031,CLEAN AFTER ETCH,,,,
valid_0032,MEASURE VIA CD,,,,
valid_0033,VIA INSPECTION,,,,
valid_0034,MEASURE VIA CD,,,,
valid_0035,VIA INSPECTION,,,,
valid_0036,MEASURE VIA CD,,,,
valid_0037,VIA INSPECTION,,,,
valid_0038,MEASURE VIA CD,,,,
valid_0039,STRIP RESIST,,,,
valid_0040,CLEAN AFTER VIA ETCH,,,,
valid_0041,DEPOSIT INTERLAYER DIELECTRIC,,,,
valid_0042,STRIP RESIST,,,,
valid_0043,CLEAN AFTER ETCH,,,,
valid_0044,STRIP PHOTORESIST,,,,
valid_0045,METAL PATTERN INSPECTION,,,,
valid_0046,CLEAN AFTER VIA ETCH,,,,
valid_0047,STRIP RESIST,,,,
valid_0048,HARD BAKE,,,,
valid_0049,DEVELOP PHOTORESIST,,,,
valid_0050,HARD BAKE,,,,
valid_0051,DEPOSIT TUNGSTEN SEED,,,,
valid_0052,MEASURE VIA CD,,,,
valid_0053,STRIP RESIST,,,,
valid_0054,MEASURE VIA CD,,,,
valid_0055,CLEAN AFTER ETCH,,,,
valid_0056,MEASURE VIA CD,,,,
valid_0057,STRIP RESIST,,,,
valid_0058,MEASURE FILM THICKNESS,,,,
valid_0059,VIA INSPECTION,,,,
valid_0060,MEASURE VIA CD,,,,
valid_0061,CLEAN AFTER ETCH,,,,
valid_0062,MEASURE VIA CD,,,,
valid_0063,CLEAN AFTER ETCH,,,,
valid_0064,DEPOSIT BARRIER METAL,,,,
valid_0065,VIA INSPECTION,,,,
valid_0066,STRIP PHOTORESIST,,,,
valid_0067,VIA INSPECTION,,,,
valid_0068,CLEAN AFTER VIA ETCH,,,,
valid_0069,VIA INSPECTION,,,,
valid_0070,CLEAN AFTER VIA ETCH,,,,
valid_0071,CLEAN AFTER ETCH,,,,
valid_0072,DEPOSIT BARRIER METAL,,,,
valid_0073,STRIP RESIST,,,,
valid_0074,CLEAN AFTER VIA ETCH,,,,
valid_0075,VIA INSPECTION,,,,
valid_0076,MEASURE VIA CD,,,,
valid_0077,STRIP RESIST,,,,
valid_0078,MEASURE VIA CD,,,,
valid_0079,STRIP RESIST,,,,
valid_0080,MEASURE VIA CD,,,,
valid_0081,STRIP RESIST,,,,
valid_0082,STRIP PHOTORESIST,,,,
valid_0083,VIA INSPECTION,,,,
valid_0084,DEPOSIT BARRIER METAL,,,,
valid_0085,VIA INSPECTION,,,,
valid_0086,MEASURE FILM THICKNESS,,,,
valid_0087,CLEAN AFTER ETCH,,,,
valid_0088,MEASURE VIA CD,,,,
valid_0089,CLEAN AFTER ETCH,,,,
valid_0090,DEPOSIT BARRIER METAL,,,,
valid_0091,STRIP RESIST,,,,
valid_0092,RAPID THERMAL ANNEAL,,,,
valid_0093,MEASURE WINDOW CD,,,,
valid_0094,VIA ETCH,,,,
valid_0095,DEPOSIT TUNGSTEN SEED,,,,
valid_0096,MEASURE VIA CD,,,,
valid_0097,RCA CLEAN 1,,,,
valid_0098,CLEAN AFTER VIA ETCH,,,,
valid_0099,VIA INSPECTION,,,,
valid_0100,CLEAN AFTER VIA ETCH,,,,
valid_0101,,,,,
valid_0102,MEASURE VIA CD,,,,
valid_0103,DEPOSIT TUNGSTEN SEED,,,,
valid_0104,CLEAN AFTER VIA ETCH,,,,
valid_0105,VIA INSPECTION,,,,
valid_0106,MEASURE JUNCTION PROFILE,,,,
valid_0107,RCA CLEAN 1,,,,
valid_0108,STRIP RESIST,,,,
valid_0109,GATE OXIDE PREP,,,,
valid_0110,MEASURE FILM THICKNESS,,,,
valid_0111,CLEAN AFTER ETCH,,,,
valid_0112,MEASURE VIA CD,,,,
valid_0113,RCA CLEAN 1,,,,
valid_0114,IMPLANT WELL,,,,
valid_0115,STRIP RESIST,,,,
valid_0116,STRIP RESIST,,,,
valid_0117,MEASURE FILM THICKNESS,,,,
valid_0118,MEASURE VIA CD,,,,
valid_0119,METAL PATTERN INSPECTION,,,,
valid_0120,MEASURE VIA CD,,,,
valid_0121,DEPOSIT TUNGSTEN SEED,,,,
valid_0122,CLEAN AFTER VIA ETCH,,,,
valid_0123,METAL PATTERN INSPECTION,,,,
valid_0124,DEPOSIT BARRIER METAL,,,,
valid_0125,CLEAN AFTER ETCH,,,,
valid_0126,STRIP RESIST,,,,
valid_0127,DEPOSIT TUNGSTEN SEED,,,,
valid_0128,MEASURE FILM THICKNESS,,,,
valid_0129,CLEAN AFTER ETCH,,,,
valid_0130,STRIP PHOTORESIST,,,,
valid_0131,METAL PATTERN INSPECTION,,,,
valid_0132,CLEAN AFTER VIA ETCH,,,,
valid_0133,MEASURE PAD OPENING,,,,
valid_0134,MEASURE VIA CD,,,,
valid_0135,CLEAN AFTER ETCH,,,,
valid_0136,MEASURE VIA CD,,,,
valid_0137,VIA INSPECTION,,,,
valid_0138,DEPOSIT BARRIER METAL,,,,
valid_0139,RCA CLEAN 1,,,,
valid_0140,MEASURE VIA CD,,,,
valid_0141,VIA INSPECTION,,,,
valid_0142,MEASURE VIA CD,,,,
valid_0143,CLEAN AFTER ETCH,,,,
valid_0144,RAPID THERMAL ANNEAL,,,,
valid_0145,STRIP RESIST,,,,
valid_0146,CLEAN AFTER VIA ETCH,,,,
valid_0147,METAL PATTERN INSPECTION,,,,
valid_0148,CLEAN AFTER VIA ETCH,,,,
valid_0149,STRIP RESIST,,,,
valid_0150,MEASURE FILM THICKNESS,,,,
valid_0151,STRIP PHOTORESIST,,,,
valid_0152,CLEAN AFTER VIA ETCH,,,,
valid_0153,VIA INSPECTION,,,,
valid_0154,CLEAN AFTER VIA ETCH,,,,
valid_0155,CLEAN AFTER ETCH,,,,
valid_0156,CLEAN AFTER VIA ETCH,,,,
valid_0157,METAL PATTERN INSPECTION,,,,
valid_0158,CLEAN AFTER VIA ETCH,,,,
valid_0159,CLEAN AFTER ETCH,,,,
valid_0160,MEASURE VIA CD,,,,
valid_0161,STRIP PHOTORESIST,,,,
valid_0162,MEASURE VIA CD,,,,
valid_0163,CMP DIELECTRIC,,,,
valid_0164,CLEAN AFTER VIA ETCH,,,,
valid_0165,STRIP RESIST,,,,
valid_0166,STRIP RESIST,,,,
valid_0167,DEPOSIT TUNGSTEN SEED,,,,
valid_0168,CLEAN AFTER VIA ETCH,,,,
valid_0169,METAL PATTERN INSPECTION,,,,
valid_0170,CLEAN AFTER VIA ETCH,,,,
valid_0171,VIA INSPECTION,,,,
valid_0172,MEASURE VIA CD,,,,
valid_0173,CMP DIELECTRIC,,,,
valid_0174,CLEAN AFTER VIA ETCH,,,,
valid_0175,CLEAN AFTER ETCH,,,,
valid_0176,CLEAN AFTER VIA ETCH,,,,
valid_0177,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0178,DEPOSIT BARRIER METAL,,,,
valid_0179,STRIP RESIST,,,,
valid_0180,MEASURE VIA CD,,,,
valid_0181,STRIP RESIST,,,,
valid_0182,CLEAN AFTER VIA ETCH,,,,
valid_0183,VIA INSPECTION,,,,
valid_0184,MEASURE VIA CD,,,,
valid_0185,STRIP RESIST,,,,
valid_0186,MEASURE VIA CD,,,,
valid_0187,STRIP RESIST,,,,
valid_0188,MEASURE FILM THICKNESS,,,,
valid_0189,STRIP RESIST,,,,
valid_0190,MEASURE VIA CD,,,,
valid_0191,STRIP RESIST,,,,
valid_0192,MEASURE VIA CD,,,,
valid_0193,VIA INSPECTION,,,,
valid_0194,CLEAN AFTER VIA ETCH,,,,
valid_0195,VIA INSPECTION,,,,
valid_0196,DEPOSIT BARRIER METAL,,,,
valid_0197,POLYSILICON ETCH,,,,
valid_0198,MEASURE VIA CD,,,,
valid_0199,CLEAN AFTER ETCH,,,,
