EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE SURFACE PLANARITY,DEPOSIT PASSIVATION,,,
valid_0001,OPEN PAD WINDOW,MEASURE PAD OPENING,PAD WINDOW LITHO,DEVELOP PHOTORESIST,
valid_0002,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0003,MEASURE WINDOW CD,DEPOSIT BACKSIDE METAL,,,
valid_0004,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0005,MEASURE PAD OPENING,OPEN PAD WINDOW,,,
valid_0006,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0007,MEASURE PAD OPENING,OPEN PAD WINDOW,,,
valid_0008,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0009,MEASURE PAD OPENING,DEPOSIT BACKSIDE METAL,,,
valid_0010,DEPOSIT BARRIER METAL,DEPOSIT PASSIVATION,,,
valid_0011,MEASURE PAD OPENING,DEPOSIT PASSIVATION,,,
valid_0012,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0013,MEASURE WINDOW CD,DEPOSIT PASSIVATION,,,
valid_0014,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0015,MEASURE WINDOW CD,DEPOSIT PASSIVATION,,,
valid_0016,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0017,MEASURE WINDOW CD,OPEN PAD WINDOW,,,
valid_0018,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0019,MEASURE PAD OPENING,DEPOSIT BARRIER METAL,,,
valid_0020,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0021,MEASURE WINDOW CD,HARD BAKE,EPITAXIAL DEPOSITION,,
valid_0022,DEPOSIT BARRIER METAL,DEPOSIT PASSIVATION,,,
valid_0023,MEASURE PAD OPENING,DEPOSIT PASSIVATION,,,
valid_0024,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0025,MEASURE PAD OPENING,BACKSIDE CLEAN,EPITAXIAL DEPOSITION,,
valid_0026,FINAL CLEAN,BACKSIDE CLEAN,BACKSIDE GRIND,EPITAXIAL DEPOSITION,
valid_0027,MEASURE PAD OPENING,DEPOSIT BACKSIDE METAL,,,
valid_0028,DEPOSIT BARRIER METAL,DEPOSIT PASSIVATION,,,
valid_0029,MEASURE PAD OPENING,DEPOSIT BACKSIDE METAL,,,
valid_0030,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0031,MEASURE PAD OPENING,DEPOSIT BACKSIDE METAL,,,
valid_0032,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0033,MEASURE PAD OPENING,OPEN PAD WINDOW,,,
valid_0034,MEASURE SURFACE PLANARITY,DEPOSIT PASSIVATION,,,
valid_0035,MEASURE WINDOW CD,BACKSIDE CLEAN,EPITAXIAL DEPOSITION,,
valid_0036,MEASURE PLANARITY,DEPOSIT BARRIER METAL,,,
valid_0037,MEASURE WINDOW CD,DEPOSIT BACKSIDE METAL,,,
valid_0038,MEASURE SURFACE PLANARITY,DEPOSIT PASSIVATION,,,
valid_0039,MEASURE PAD OPENING,DEPOSIT BARRIER METAL,,,
valid_0040,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0041,MEASURE PAD OPENING,BACKSIDE CLEAN,BACKSIDE ANNEAL,,
valid_0042,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0043,MEASURE PAD OPENING,DEPOSIT BARRIER METAL,,,
valid_0044,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0045,MEASURE PAD OPENING,PAD WINDOW LITHO,,,
valid_0046,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0047,MEASURE WINDOW CD,DEPOSIT BACKSIDE METAL,,,
valid_0048,EPITAXIAL DEPOSITION,,,,
valid_0049,MEASURE PAD OPENING,OPEN PAD WINDOW,EPITAXIAL DEPOSITION,,
valid_0050,MEASURE PLANARITY,,,,
valid_0051,MEASURE PAD OPENING,OPEN PAD WINDOW,,,
valid_0052,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0053,MEASURE PAD OPENING,BACKSIDE CLEAN,EPITAXIAL DEPOSITION,,
valid_0054,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0055,MEASURE PAD OPENING,DEPOSIT BACKSIDE METAL,,,
valid_0056,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0057,MEASURE PAD OPENING,BACKSIDE CLEAN,EPITAXIAL DEPOSITION,,
valid_0058,DEPOSIT METAL SEED,FILL VIA METAL,,,
valid_0059,MEASURE WINDOW CD,DEPOSIT PASSIVATION,,,
valid_0060,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT PASSIVATION,,
valid_0061,MEASURE PAD OPENING,DEPOSIT PASSIVATION,,,
valid_0062,FINAL CLEAN,EPITAXIAL DEPOSITION,,,
