EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,STRIP RESIST,,,,
valid_0001,MEASURE FILM THICKNESS,,,,
valid_0002,MEASURE VIA CD,,,,
valid_0003,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0004,CLEAN AFTER VIA ETCH,,,,
valid_0005,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0006,CLEAN AFTER VIA ETCH,,,,
valid_0007,CMP METAL,,,,
valid_0008,STRIP RESIST,,,,
valid_0009,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0010,MEASURE VIA CD,,,,
valid_0011,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0012,MEASURE VIA CD,,,,
valid_0013,PAD WINDOW LITHO,,,,
valid_0014,HARD BAKE,,,,
valid_0015,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0016,HARD BAKE,,,,
valid_0017,MEASURE FILM THICKNESS,,,,
valid_0018,DEPOSIT BARRIER METAL,,,,
valid_0019,STRIP RESIST,,,,
valid_0020,CLEAN AFTER VIA ETCH,,,,
valid_0021,HARD BAKE,,,,
valid_0022,MEASURE VIA CD,,,,
valid_0023,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0024,CLEAN AFTER VIA ETCH,,,,
valid_0025,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0026,STRIP RESIST,,,,
valid_0027,CMP METAL,,,,
valid_0028,MEASURE VIA CD,,,,
valid_0029,HARD BAKE,,,,
valid_0030,MEASURE VIA CD,,,,
valid_0031,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0032,MEASURE VIA CD,,,,
valid_0033,DEVELOP PHOTORESIST,,,,
valid_0034,HARD BAKE,,,,
valid_0035,MEASURE FILM THICKNESS,,,,
valid_0036,DEPOSIT BARRIER METAL,,,,
valid_0037,DEVELOP PHOTORESIST,,,,
valid_0038,STRIP RESIST,,,,
valid_0039,IMPLANT SOURCE DRAIN,,,,
valid_0040,MEASURE VIA CD,,,,
valid_0041,DEVELOP PHOTORESIST,,,,
valid_0042,STRIP RESIST,,,,
valid_0043,CMP METAL,,,,
valid_0044,CLEAN AFTER VIA ETCH,,,,
valid_0045,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0046,DEPOSIT BARRIER METAL,,,,
valid_0047,VIA INSPECTION,,,,
valid_0048,CLEAN AFTER VIA ETCH,,,,
valid_0049,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0050,MEASURE VIA CD,,,,
valid_0051,CMP METAL,,,,
valid_0052,STRIP RESIST,,,,
valid_0053,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0054,DEPOSIT BARRIER METAL,,,,
valid_0055,STRIP RESIST,,,,
valid_0056,STRIP RESIST,,,,
valid_0057,CMP METAL,,,,
valid_0058,STRIP RESIST,,,,
valid_0059,CMP METAL,,,,
valid_0060,STRIP RESIST,,,,
