EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
valid_0000,1,0.9000,
valid_0001,0,0.1000,
valid_0002,0,0.1000,RULE_DEP_NO_CLEAN
valid_0003,0,0.1000,RULE_DEP_NO_CLEAN
valid_0004,0,0.1000,RULE_DEP_NO_CLEAN
valid_0005,0,0.1000,
valid_0006,1,0.9000,
valid_0007,0,0.1000,
valid_0008,0,0.1000,
valid_0009,1,0.9000,
valid_0010,1,0.9000,
valid_0011,1,0.9000,
valid_0012,1,0.9000,
valid_0013,1,0.9000,
valid_0014,1,0.9000,
valid_0015,0,0.1000,
valid_0016,1,0.9000,
valid_0017,0,0.1000,RULE_DEP_NO_CLEAN
valid_0018,1,0.9000,
valid_0019,0,0.1000,RULE_DEP_NO_CLEAN
valid_0020,1,0.9000,
valid_0021,0,0.1000,
valid_0022,0,0.1000,RULE_DEP_NO_CLEAN
valid_0023,0,0.1000,
valid_0024,1,0.9000,
valid_0025,1,0.9000,
valid_0026,1,0.9000,
valid_0027,1,0.9000,
valid_0028,1,0.9000,
valid_0029,1,0.9000,
valid_0030,0,0.1000,
valid_0031,0,0.1000,
valid_0032,1,0.9000,
valid_0033,0,0.1000,
valid_0034,1,0.9000,
valid_0035,1,0.9000,
valid_0036,1,0.9000,
valid_0037,1,0.9000,
valid_0038,1,0.9000,
valid_0039,0,0.1000,
valid_0040,1,0.9000,
valid_0041,1,0.9000,
valid_0042,1,0.9000,
valid_0043,0,0.1000,
valid_0044,1,0.9000,
valid_0045,0,0.1000,
valid_0046,1,0.9000,
valid_0047,1,0.9000,
valid_0048,1,0.9000,
valid_0049,0,0.1000,RULE_DEP_NO_CLEAN
valid_0050,0,0.1000,
valid_0051,1,0.9000,
valid_0052,1,0.9000,
valid_0053,0,0.1000,
valid_0054,1,0.9000,
valid_0055,1,0.9000,
valid_0056,1,0.9000,
valid_0057,0,0.1000,RULE_DEP_NO_CLEAN
valid_0058,1,0.9000,
valid_0059,1,0.9000,
valid_0060,0,0.1000,
valid_0061,1,0.9000,
