EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,ALIGN MASK LEVEL 5,,,,
valid_0001,ANNEAL POLYSILICON,,,,
valid_0002,ALIGN MASK LEVEL 5,,,,
valid_0003,MEASURE SURFACE PARTICLES,,,,
valid_0004,SOFT BAKE,,,,
valid_0005,ANNEAL POLYSILICON,,,,
valid_0006,MEASURE PLANARITY,,,,
valid_0007,ANNEAL DIELECTRIC,,,,
valid_0008,SOFT BAKE,,,,
valid_0009,MEASURE FILM THICKNESS,,,,
valid_0010,SPIN COAT PHOTORESIST,,,,
valid_0011,ANNEAL POLYSILICON,,,,
valid_0012,MEASURE PLANARITY,,,,
valid_0013,ANNEAL POLYSILICON,,,,
valid_0014,SPIN COAT PHOTORESIST,,,,
valid_0015,ANNEAL POLYSILICON,,,,
valid_0016,CMP DIELECTRIC,,,,
valid_0017,MEASURE FILM THICKNESS,,,,
valid_0018,CMP DIELECTRIC,,,,
valid_0019,IMPLANT SOURCE DRAIN,,,,
valid_0020,MEASURE PLANARITY,,,,
valid_0021,ANNEAL DIELECTRIC,,,,
valid_0022,MEASURE PLANARITY,,,,
valid_0023,ANNEAL DIELECTRIC,,,,
valid_0024,MEASURE PLANARITY,,,,
valid_0025,ANNEAL POLYSILICON,,,,
valid_0026,SOFT BAKE,,,,
valid_0027,ANNEAL POLYSILICON,,,,
valid_0028,SPIN COAT PHOTORESIST,,,,
valid_0029,MEASURE FILM THICKNESS,,,,
valid_0030,MEASURE FILM THICKNESS,,,,
valid_0031,MEASURE CD LEVEL 1,,,,
valid_0032,MEASURE PLANARITY,,,,
valid_0033,IMPLANT SOURCE REGION,,,,
valid_0034,MEASURE PLANARITY,,,,
valid_0035,ANNEAL DIELECTRIC,,,,
valid_0036,MEASURE PLANARITY,,,,
valid_0037,ANNEAL POLYSILICON,,,,
valid_0038,SOFT BAKE,,,,
valid_0039,MEASURE FILM THICKNESS,,,,
valid_0040,SOFT BAKE,,,,
valid_0041,ANNEAL POLYSILICON,,,,
valid_0042,MEASURE PLANARITY,,,,
valid_0043,ANNEAL POLYSILICON,,,,
valid_0044,MEASURE FILM THICKNESS,,,,
valid_0045,IMPLANT SOURCE DRAIN,,,,
valid_0046,MEASURE PLANARITY,,,,
valid_0047,ANNEAL DIELECTRIC,,,,
valid_0048,MEASURE PLANARITY,,,,
valid_0049,IMPLANT SOURCE DRAIN,,,,
valid_0050,MEASURE PLANARITY,,,,
valid_0051,IMPLANT SOURCE DRAIN,,,,
valid_0052,MEASURE PLANARITY,,,,
valid_0053,ANNEAL POLYSILICON,,,,
valid_0054,MEASURE DIELECTRIC THICKNESS,,,,
valid_0055,,,,,
valid_0056,SPIN COAT PHOTORESIST,,,,
valid_0057,ANNEAL POLYSILICON,,,,
valid_0058,SOFT BAKE,,,,
valid_0059,MEASURE SURFACE PARTICLES,,,,
valid_0060,SPIN COAT PHOTORESIST,,,,
valid_0061,ANNEAL POLYSILICON,,,,
valid_0062,CMP DIELECTRIC,,,,
