EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0001,CURE PASSIVATION,MEASURE THICKNESS,,,
valid_0002,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT POLYSILICON,,
valid_0003,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0004,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT POLYSILICON,,
valid_0005,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0006,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT POLYSILICON,,
valid_0007,OPEN PAD WINDOW,LEAKAGE TEST,,,
valid_0008,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0009,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0010,VIA ETCH,MEASURE VIA CD,,,
valid_0011,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0012,VIA ETCH,MEASURE VIA CD,,,
valid_0013,MEASURE PAD OPENING,BACKSIDE GRIND,LEAKAGE TEST,,
valid_0014,VIA INSPECTION,DEPOSIT BARRIER METAL,LEAKAGE TEST,,
valid_0015,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0016,VIA INSPECTION,DEPOSIT BARRIER METAL,LEAKAGE TEST,,
valid_0017,CURE PASSIVATION,MEASURE THICKNESS,,,
valid_0018,DEPOSIT BARRIER METAL,ANNEAL METAL,,,
valid_0019,MEASURE PAD OPENING,DEPOSIT BARRIER METAL,,,
valid_0020,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0021,OPEN PAD WINDOW,LEAKAGE TEST,,,
valid_0022,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0023,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0024,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0025,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0026,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT POLYSILICON,,
valid_0027,OPEN PAD WINDOW,LEAKAGE TEST,,,
valid_0028,MEASURE VIA CD,,,,
valid_0029,MEASURE PAD OPENING,BACKSIDE GRIND,LEAKAGE TEST,,
valid_0030,MEASURE VIA CD,,,,
valid_0031,ETCH WET BACKSIDE,,,,
valid_0032,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0033,OPEN PAD WINDOW,DEVELOP PHOTORESIST,PASSIVATION ETCH PAD OPENING,STRIP RESIST,
valid_0034,VIA OPENING INSPECTION,DEPOSIT BARRIER METAL,,,
valid_0035,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,,,
valid_0036,DEPOSIT BARRIER METAL,,,,
valid_0037,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0038,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0039,IMPLANT SOURCE DRAIN,,,,
valid_0040,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT POLYSILICON,,
valid_0041,OPEN PAD WINDOW,MEASURE PAD OPENING,PAD WINDOW LITHO,DEVELOP PHOTORESIST,
valid_0042,VIA ETCH,MEASURE VIA CD,,,
valid_0043,OPEN PAD WINDOW,,,,
valid_0044,STRIP RESIST,MEASURE VIA CD,,,
valid_0045,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0046,DEPOSIT BARRIER METAL,,,,
valid_0047,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0048,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0049,OPEN PAD WINDOW LITHO,DEVELOP PHOTORESIST,,,
valid_0050,VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0051,OPEN PAD WINDOW,LEAKAGE TEST,,,
valid_0052,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT POLYSILICON,,
