EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,YIELD ANALYSIS,,,,
valid_0001,CURE PASSIVATION,PASSIVATION ETCH,,,
valid_0002,,,,,
valid_0003,MEASURE PASSIVATION QUALITY,YIELD ANALYSIS,,,
valid_0004,SPIN COAT PHOTORESIST,YIELD ANALYSIS,,,
valid_0005,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0006,ANNEAL DIELECTRIC,,,,
valid_0007,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0008,SPIN COAT PHOTORESIST,YIELD ANALYSIS,,,
valid_0009,MEASURE PASSIVATION QUALITY,YIELD ANALYSIS,,,
valid_0010,MEASURE VIA RESISTANCE,HARD BAKE,,,
valid_0011,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0012,CMP DIELECTRIC,MEASURE PLANARITY,SPIN COAT PHOTORESIST,,
valid_0013,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0014,MEASURE DIELECTRIC THICKNESS,,,,
valid_0015,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,,,
valid_0016,YIELD ANALYSIS,,,,
valid_0017,ANNEAL METAL,MEASURE METAL THICKNESS,,,
valid_0018,MEASURE DIELECTRIC THICKNESS,,,,
valid_0019,YIELD ANALYSIS,,,,
valid_0020,CMP DIELECTRIC,MEASURE PLANARITY,SPIN COAT PHOTORESIST,,
valid_0021,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0022,CMP DIELECTRIC,MEASURE PLANARITY,SPIN COAT PHOTORESIST,,
valid_0023,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,,,
valid_0024,YIELD ANALYSIS,,,,
valid_0025,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0026,SPIN COAT PHOTORESIST,YIELD ANALYSIS,,,
valid_0027,CURE PASSIVATION,MEASURE PLANARITY,,,
valid_0028,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,,,
valid_0029,MEASURE PASSIVATION QUALITY,YIELD ANALYSIS,,,
valid_0030,MEASURE FILM THICKNESS,,,,
