EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,ANNEAL OXIDE,,,,
valid_0001,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0002,MEASURE THICKNESS,,,,
valid_0003,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0004,VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,
valid_0005,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0006,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0007,PAD WINDOW LITHO,,,,
valid_0008,,,,,
valid_0009,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0010,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0011,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0012,VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,
valid_0013,PAD WINDOW LITHO,,,,
valid_0014,DIELECTRIC ETCH VIA,ANNEAL OXIDE,,,
valid_0015,PAD WINDOW LITHO,,,,
valid_0016,VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,
valid_0017,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0018,,,,,
valid_0019,PAD WINDOW LITHO,,,,
valid_0020,DIELECTRIC ETCH VIA,,,,
valid_0021,PAD WINDOW LITHO,,,,
valid_0022,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0023,PAD WINDOW LITHO,,,,
valid_0024,DEPOSIT PASSIVATION LAYER,ANNEAL OXIDE,,,
valid_0025,PAD WINDOW LITHO,,,,
valid_0026,DEPOSIT PASSIVATION LAYER,ANNEAL OXIDE,,,
valid_0027,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0028,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0029,PAD WINDOW LITHO,,,,
valid_0030,,,,,
valid_0031,PAD WINDOW LITHO,,,,
valid_0032,MEASURE SURFACE PLANARITY,DEPOSIT POLYSILICON,,,
valid_0033,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0034,MEASURE THICKNESS,,,,
valid_0035,PAD WINDOW LITHO,,,,
valid_0036,,,,,
valid_0037,PAD WINDOW LITHO,,,,
valid_0038,MEASURE THICKNESS,,,,
valid_0039,PAD WINDOW LITHO,,,,
valid_0040,DIELECTRIC ETCH VIA,,,,
valid_0041,PAD WINDOW LITHO,,,,
valid_0042,VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,
valid_0043,PAD WINDOW LITHO,,,,
valid_0044,VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,
valid_0045,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0046,MEASURE THICKNESS,,,,
valid_0047,PAD WINDOW LITHO,,,,
valid_0048,CMP DIELECTRIC,MEASURE THICKNESS,,,
valid_0049,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0050,DEPOSIT POLYSILICON,,,,
valid_0051,PAD WINDOW LITHO,,,,
valid_0052,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0053,PAD WINDOW LITHO,,,,
valid_0054,DEPOSIT PASSIVATION LAYER,ANNEAL OXIDE,,,
valid_0055,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0056,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0057,PAD WINDOW LITHO,,,,
valid_0058,DEPOSIT TOP METAL,ANNEAL OXIDE,,,
valid_0059,PAD WINDOW LITHO,,,,
valid_0060,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0061,PAD WINDOW LITHO,,,,
valid_0062,DEPOSIT PASSIVATION LAYER,ANNEAL OXIDE,,,
valid_0063,PAD WINDOW LITHO,,,,
valid_0064,DEPOSIT POLYSILICON,,,,
valid_0065,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0066,DENSIFY OXIDE,ANNEAL OXIDE,,,
valid_0067,PAD WINDOW LITHO,,,,
valid_0068,DEPOSIT POLYSILICON,,,,
valid_0069,PAD WINDOW LITHO,,,,
valid_0070,MEASURE THICKNESS,,,,
valid_0071,PAD WINDOW LITHO,,,,
valid_0072,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0073,PAD WINDOW LITHO,,,,
valid_0074,DIELECTRIC ETCH VIA,,,,
valid_0075,PAD WINDOW LITHO,,,,
valid_0076,MEASURE THICKNESS,,,,
valid_0077,PAD WINDOW LITHO,,,,
valid_0078,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0079,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0080,DENSIFY DIELECTRIC,,,,
valid_0081,PAD WINDOW LITHO,,,,
valid_0082,DEPOSIT POLYSILICON,,,,
valid_0083,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0084,,,,,
valid_0085,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0086,DEPOSIT METAL SEED,FILL VIA METAL,,,
valid_0087,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0088,ANNEAL OXIDE,,,,
valid_0089,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0090,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0091,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0092,DEPOSIT TOP METAL,ANNEAL OXIDE,,,
valid_0093,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0094,DEPOSIT POLYSILICON,,,,
valid_0095,PAD WINDOW LITHO,,,,
valid_0096,DIELECTRIC ETCH VIA,MEASURE VIA CD,DEPOSIT BARRIER METAL,,
valid_0097,PAD WINDOW LITHO,,,,
valid_0098,DIELECTRIC ETCH VIA,ANNEAL OXIDE,,,
valid_0099,PAD WINDOW LITHO,,,,
valid_0100,ANNEAL OXIDE,,,,
valid_0101,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0102,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0103,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0104,ANNEAL OXIDE,,,,
valid_0105,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0106,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0107,PAD WINDOW LITHO,,,,
valid_0108,VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,
valid_0109,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0110,DEPOSIT TOP METAL,ANNEAL OXIDE,,,
valid_0111,PAD WINDOW LITHO,,,,
valid_0112,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0113,PAD WINDOW LITHO,,,,
valid_0114,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,,,
valid_0115,PAD WINDOW LITHO,,,,
valid_0116,MEASURE DIELECTRIC THICKNESS,,,,
valid_0117,PAD WINDOW LITHO,,,,
valid_0118,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL,ANNEAL OXIDE,,
valid_0119,OPEN PAD WINDOW,MEASURE PAD OPENING,,,
valid_0120,,,,,
valid_0121,PAD WINDOW LITHO,,,,
valid_0122,MEASURE THICKNESS,,,,
