EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0000,MEASURE VIA CD
valid_0001,ETCH SILICON OR OXIDE WINDOW
valid_0002,MEASURE VIA CD
valid_0003,ETCH SILICON OR OXIDE WINDOW
valid_0004,CLEAN AFTER VIA ETCH
valid_0005,ETCH SILICON OR OXIDE WINDOW
valid_0006,MEASURE VIA CD
valid_0007,ETCH SILICON OR OXIDE WINDOW
valid_0008,CLEAN AFTER VIA ETCH
valid_0009,STRIP PHOTORESIST
valid_0010,DEPOSIT BARRIER METAL
valid_0011,ETCH SILICON OR OXIDE WINDOW
valid_0012,STRIP PHOTORESIST
valid_0013,STRIP RESIST
valid_0014,CLEAN AFTER VIA ETCH
valid_0015,CLEAN AFTER WINDOW ETCH
valid_0016,HARD BAKE
valid_0017,ETCH SILICON OR OXIDE WINDOW
valid_0018,CLEAN AFTER VIA ETCH
valid_0019,CURE PASSIVATION
valid_0020,CLEAN AFTER VIA ETCH
valid_0021,CURE PASSIVATION
valid_0022,IMPLANT SOURCE DRAIN
valid_0023,CURE PASSIVATION
valid_0024,MEASURE VIA CD
valid_0025,CLEAN AFTER OXIDE ETCH
valid_0026,MEASURE VIA CD
valid_0027,STRIP RESIST
valid_0028,DEPOSIT BARRIER METAL
valid_0029,CURE PASSIVATION
valid_0030,MEASURE VIA CD
valid_0031,CLEAN PAD OPENING
valid_0032,MEASURE VIA CD
valid_0033,ETCH SILICON OR OXIDE WINDOW
valid_0034,MEASURE VIA CD
valid_0035,ETCH SILICON OR OXIDE WINDOW
valid_0036,MEASURE VIA CD
valid_0037,ETCH SILICON OR OXIDE WINDOW
valid_0038,MEASURE VIA CD
valid_0039,STRIP PHOTORESIST
valid_0040,CLEAN AFTER VIA ETCH
valid_0041,ETCH SILICON OR OXIDE WINDOW
valid_0042,STRIP PHOTORESIST
valid_0043,CURE PASSIVATION
valid_0044,HARD BAKE
valid_0045,ETCH SILICON OR OXIDE WINDOW
valid_0046,CLEAN AFTER VIA ETCH
valid_0047,STRIP RESIST
valid_0048,OXIDE ETCH
valid_0049,ETCH SILICON OR OXIDE WINDOW
valid_0050,OXIDE ETCH
valid_0051,ETCH SILICON OR OXIDE WINDOW
valid_0052,MEASURE VIA CD
valid_0053,STRIP PHOTORESIST
valid_0054,MEASURE VIA CD
valid_0055,CLEAN AFTER OXIDE ETCH
valid_0056,MEASURE VIA CD
valid_0057,STRIP RESIST
valid_0058,ANNEAL METAL
valid_0059,ETCH SILICON OR OXIDE WINDOW
valid_0060,MEASURE VIA CD
valid_0061,CLEAN PAD OPENING
valid_0062,MEASURE VIA CD
valid_0063,CLEAN AFTER OXIDE ETCH
valid_0064,IMPLANT N-TYPE
valid_0065,ETCH SILICON OR OXIDE WINDOW
valid_0066,STRIP PHOTORESIST
valid_0067,ETCH SILICON OR OXIDE WINDOW
valid_0068,MEASURE VIA CD
valid_0069,ETCH SILICON OR OXIDE WINDOW
valid_0070,CLEAN AFTER VIA ETCH
valid_0071,CLEAN AFTER OXIDE ETCH
valid_0072,IMPLANT N-TYPE
valid_0073,STRIP PHOTORESIST
valid_0074,CLEAN AFTER VIA ETCH
valid_0075,ETCH SILICON OR OXIDE WINDOW
valid_0076,MEASURE VIA CD
valid_0077,STRIP RESIST
valid_0078,MEASURE VIA CD
valid_0079,STRIP PHOTORESIST
valid_0080,MEASURE VIA CD
valid_0081,STRIP RESIST
valid_0082,STRIP PHOTORESIST
valid_0083,ETCH SILICON OR OXIDE WINDOW
valid_0084,DEPOSIT BARRIER METAL
valid_0085,ETCH SILICON OR OXIDE WINDOW
valid_0086,ANNEAL METAL
valid_0087,CLEAN AFTER WINDOW ETCH
valid_0088,MEASURE VIA CD
valid_0089,CURE PASSIVATION
valid_0090,IMPLANT N-TYPE
valid_0091,STRIP PHOTORESIST
valid_0092,ANNEAL METAL
valid_0093,MEASURE WINDOW CD
valid_0094,OXIDE ETCH
valid_0095,ETCH SILICON OR OXIDE WINDOW
valid_0096,MEASURE VIA CD
valid_0097,CURE PASSIVATION
valid_0098,CLEAN AFTER VIA ETCH
valid_0099,ETCH SILICON OR OXIDE WINDOW
valid_0100,CLEAN AFTER VIA ETCH
valid_0101,ETCH SILICON OR OXIDE WINDOW
valid_0102,MEASURE VIA CD
