EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
anomaly_0459,1,0.9000,
anomaly_0507,0,0.1000,
anomaly_0057,1,0.9000,
anomaly_0054,1,0.9000,
anomaly_0386,0,0.1000,
anomaly_0420,0,0.1000,
anomaly_0828,1,0.9000,
anomaly_0899,0,0.1000,
anomaly_0867,0,0.1000,
anomaly_0427,0,0.1000,
anomaly_0290,0,0.1000,RULE_DEP_NO_CLEAN
anomaly_0922,1,0.9000,
anomaly_0504,1,0.9000,
anomaly_0840,0,0.1000,RULE_DEP_NO_CLEAN
anomaly_0444,1,0.9000,
anomaly_0077,1,0.9000,
anomaly_0178,1,0.9000,
anomaly_0976,1,0.9000,
anomaly_0754,1,0.9000,
anomaly_0412,0,0.1000,
anomaly_0866,0,0.1000,
anomaly_0937,1,0.9000,
anomaly_0928,0,0.1000,
anomaly_0721,1,0.9000,
anomaly_0366,1,0.9000,
anomaly_0849,1,0.9000,
anomaly_0034,1,0.9000,
anomaly_0273,0,0.1000,
anomaly_0975,0,0.1000,
anomaly_0175,1,0.9000,
anomaly_0711,0,0.1000,RULE_DEP_NO_CLEAN
anomaly_0402,1,0.9000,
anomaly_0761,1,0.9000,
anomaly_0582,1,0.9000,
anomaly_0497,0,0.1000,
anomaly_0628,1,0.9000,
anomaly_0185,0,0.1000,RULE_DEP_NO_CLEAN
anomaly_0491,1,0.9000,
anomaly_0360,1,0.9000,
anomaly_0960,0,0.1000,
anomaly_0263,1,0.9000,
anomaly_0848,0,0.1000,
anomaly_0326,1,0.9000,
anomaly_0050,1,0.9000,
anomaly_0631,1,0.9000,
anomaly_0846,1,0.9000,
anomaly_0983,0,0.1000,
anomaly_0753,1,0.9000,
anomaly_0630,1,0.9000,
anomaly_0232,1,0.9000,
anomaly_0222,0,0.1000,
anomaly_0790,1,0.9000,
anomaly_0186,0,0.1000,RULE_ETCH_NO_MASK
anomaly_0821,1,0.9000,
anomaly_0230,0,0.1000,RULE_ETCH_NO_MASK
anomaly_0623,1,0.9000,
anomaly_0458,1,0.9000,
anomaly_0356,1,0.9000,
anomaly_0086,1,0.9000,
anomaly_0574,1,0.9000,
anomaly_0890,1,0.9000,
