EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0001,MEASURE FILM THICKNESS
valid_0002,CLEAN AFTER WINDOW ETCH
valid_0003,MEASURE VIA CD
valid_0004,ETCH SILICON OR OXIDE WINDOW
valid_0005,MEASURE VIA CD
valid_0006,HARD BAKE
valid_0007,MEASURE VIA CD
valid_0008,HARD BAKE
valid_0009,MEASURE VIA CD
valid_0010,STRIP RESIST
valid_0011,MEASURE VIA CD
valid_0012,HARD BAKE
valid_0013,MEASURE VIA CD
valid_0014,STRIP PHOTORESIST
valid_0015,MEASURE VIA CD
valid_0016,STRIP RESIST
valid_0017,CLEAN AFTER VIA ETCH
valid_0018,HARD BAKE
valid_0019,IMPLANT LDD
valid_0020,STRIP PHOTORESIST
valid_0021,CLEAN AFTER VIA ETCH
valid_0022,DEVELOP PHOTORESIST
valid_0023,CLEAN AFTER VIA ETCH
valid_0024,HARD BAKE
valid_0025,CLEAN AFTER VIA ETCH
valid_0026,DEVELOP PHOTORESIST
valid_0027,STRIP RESIST
valid_0028,ETCH SILICON OR OXIDE WINDOW
valid_0029,MEASURE VIA CD
valid_0030,ETCH SILICON OR OXIDE WINDOW
valid_0031,MEASURE VIA CD
valid_0032,STRIP PHOTORESIST
valid_0033,ANNEAL METAL
valid_0034,STRIP RESIST
valid_0035,IMPLANT LDD
valid_0036,CLEAN AFTER WINDOW ETCH
valid_0037,MEASURE VIA CD
valid_0038,STRIP RESIST
valid_0039,ANNEAL OXIDE
valid_0040,MEASURE WINDOW CD
valid_0041,MEASURE VIA CD
valid_0042,ETCH SILICON OR OXIDE WINDOW
valid_0043,MEASURE VIA CD
valid_0044,HARD BAKE
valid_0045,MEASURE VIA CD
valid_0046,HARD BAKE
valid_0047,ANNEAL OXIDE
valid_0048,STRIP PHOTORESIST
valid_0049,IMPLANT LDD
valid_0050,HARD BAKE
valid_0051,IMPLANT LDD
valid_0052,STRIP RESIST
valid_0053,CLEAN AFTER VIA ETCH
valid_0054,HARD BAKE
valid_0055,MEASURE VIA CD
valid_0056,CLEAN AFTER WINDOW ETCH
valid_0057,STRIP RESIST
valid_0058,MEASURE WINDOW CD
valid_0059,MEASURE VIA CD
valid_0060,HARD BAKE
valid_0061,IMPLANT LDD
valid_0062,OXIDE STRIP
valid_0063,STRIP RESIST
valid_0064,DEVELOP PHOTORESIST
valid_0065,MEASURE VIA CD
valid_0066,HARD BAKE
valid_0067,CLEAN AFTER VIA ETCH
valid_0068,STRIP RESIST
valid_0069,CLEAN AFTER VIA ETCH
valid_0070,HARD BAKE
valid_0071,CLEAN AFTER VIA ETCH
valid_0072,HARD BAKE
valid_0073,MEASURE VIA CD
valid_0074,STRIP RESIST
valid_0075,MEASURE VIA CD
valid_0076,HARD BAKE
valid_0077,CLEAN AFTER VIA ETCH
valid_0078,STRIP PHOTORESIST
valid_0079,MEASURE VIA CD
valid_0080,STRIP RESIST
valid_0081,IMPLANT LDD
valid_0082,STRIP PHOTORESIST
valid_0083,STRIP RESIST
valid_0084,HARD BAKE
valid_0085,MEASURE VIA CD
valid_0086,CLEAN AFTER WINDOW ETCH
valid_0087,HARD BAKE
valid_0088,ETCH SILICON OR OXIDE WINDOW
valid_0089,CLEAN AFTER VIA ETCH
valid_0090,STRIP PHOTORESIST
valid_0091,MEASURE VIA CD
valid_0092,DEVELOP PHOTORESIST
valid_0093,STRIP RESIST
valid_0094,STRIP PHOTORESIST
valid_0095,MEASURE VIA CD
valid_0096,STRIP PHOTORESIST
valid_0097,CLEAN AFTER VIA ETCH
valid_0098,ETCH SILICON OR OXIDE WINDOW
valid_0099,ANNEAL METAL
valid_0100,CLEAN AFTER WINDOW ETCH
valid_0101,CLEAN AFTER VIA ETCH
valid_0102,MEASURE WINDOW CD
valid_0103,IMPLANT LDD
valid_0104,HARD BAKE
valid_0105,IMPLANT LDD
valid_0106,STRIP RESIST
valid_0107,DEPOSIT TUNGSTEN SEED
valid_0108,HARD BAKE
valid_0109,CLEAN AFTER VIA ETCH
valid_0110,ETCH SILICON OR OXIDE WINDOW
valid_0111,CLEAN AFTER VIA ETCH
valid_0112,STRIP PHOTORESIST
valid_0113,MEASURE VIA CD
valid_0114,CLEAN AFTER WINDOW ETCH
valid_0115,MEASURE VIA CD
valid_0116,STRIP RESIST
valid_0117,CLEAN AFTER VIA ETCH
valid_0118,HARD BAKE
valid_0119,IMPLANT N-TYPE
valid_0120,CLEAN PAD OPENING
valid_0121,MEASURE VIA CD
valid_0122,ETCH SILICON OR OXIDE WINDOW
valid_0123,ANNEAL METAL
