EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,ANNEAL METAL,,,,
valid_0002,CLEAN AFTER WINDOW ETCH,,,,
valid_0003,MEASURE VIA CD,,,,
valid_0004,VIA INSPECTION,,,,
valid_0005,MEASURE VIA CD,,,,
valid_0006,PAD WINDOW LITHO,,,,
valid_0007,MEASURE VIA CD,,,,
valid_0008,VIA INSPECTION,,,,
valid_0009,MEASURE VIA CD,,,,
valid_0010,STRIP PHOTORESIST,,,,
valid_0011,MEASURE VIA CD,,,,
valid_0012,FIELD PATTERN INSPECTION,,,,
valid_0013,MEASURE VIA CD,,,,
valid_0014,STRIP PHOTORESIST,,,,
valid_0015,MEASURE VIA CD,,,,
valid_0016,STRIP PHOTORESIST,,,,
valid_0017,CLEAN AFTER VIA ETCH,,,,
valid_0018,VIA INSPECTION,,,,
valid_0019,IMPLANT LDD,,,,
valid_0020,STRIP PHOTORESIST,,,,
valid_0021,CLEAN AFTER VIA ETCH,,,,
valid_0022,DEVELOP PHOTORESIST,,,,
valid_0023,CLEAN AFTER VIA ETCH,,,,
valid_0024,PAD WINDOW LITHO,,,,
valid_0025,CLEAN AFTER VIA ETCH,,,,
valid_0026,DEVELOP PHOTORESIST,,,,
valid_0027,STRIP RESIST,,,,
valid_0028,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0029,STRIP RESIST,,,,
valid_0030,DEVELOP PHOTORESIST,,,,
valid_0031,MEASURE VIA CD,,,,
valid_0032,STRIP PHOTORESIST,,,,
valid_0033,PRE ANNEAL CHECK,,,,
valid_0034,STRIP RESIST,,,,
valid_0035,DEPOSIT INTERLEVEL DIELECTRIC,,,,
valid_0036,CLEAN AFTER WINDOW ETCH,,,,
valid_0037,MEASURE VIA CD,,,,
valid_0038,STRIP RESIST,,,,
valid_0039,HARD BAKE,,,,
valid_0040,MEASURE WINDOW CD,,,,
valid_0041,MEASURE VIA CD,,,,
valid_0042,DEVELOP PHOTORESIST,,,,
valid_0043,MEASURE VIA CD,,,,
valid_0044,VIA INSPECTION,,,,
valid_0045,MEASURE VIA CD,,,,
valid_0046,PAD WINDOW LITHO,,,,
valid_0047,ANNEAL METAL,,,,
valid_0048,STRIP PHOTORESIST,,,,
valid_0049,IMPLANT LDD,,,,
valid_0050,PAD WINDOW LITHO,,,,
valid_0051,IMPLANT LDD,,,,
valid_0052,STRIP PHOTORESIST,,,,
valid_0053,CLEAN AFTER VIA ETCH,,,,
valid_0054,PAD WINDOW LITHO,,,,
valid_0055,ANNEAL METAL,,,,
valid_0056,CLEAN AFTER WINDOW ETCH,,,,
valid_0057,STRIP RESIST,,,,
valid_0058,STRIP RESIST,,,,
valid_0059,MEASURE VIA CD,,,,
valid_0060,PAD WINDOW LITHO,,,,
valid_0061,DEPOSIT BARRIER METAL,,,,
valid_0062,DEVELOP PHOTORESIST,,,,
valid_0063,STRIP RESIST,,,,
valid_0064,DEVELOP PHOTORESIST,,,,
valid_0065,MEASURE VIA CD,,,,
valid_0066,FIELD PATTERN INSPECTION,,,,
valid_0067,CLEAN AFTER VIA ETCH,,,,
valid_0068,STRIP RESIST,,,,
valid_0069,CLEAN AFTER VIA ETCH,,,,
valid_0070,PAD WINDOW LITHO,,,,
valid_0071,CLEAN AFTER VIA ETCH,,,,
valid_0072,PAD WINDOW LITHO,,,,
valid_0073,MEASURE VIA CD,,,,
valid_0074,STRIP PHOTORESIST,,,,
valid_0075,MEASURE VIA CD,,,,
valid_0076,PAD WINDOW LITHO,,,,
valid_0077,CLEAN AFTER VIA ETCH,,,,
valid_0078,STRIP PHOTORESIST,,,,
valid_0079,MEASURE VIA CD,,,,
valid_0080,STRIP RESIST,,,,
valid_0081,IMPLANT SOURCE DRAIN,,,,
valid_0082,STRIP PHOTORESIST,,,,
valid_0083,STRIP RESIST,,,,
valid_0084,PAD WINDOW LITHO,,,,
valid_0085,MEASURE VIA CD,,,,
valid_0086,CLEAN AFTER WINDOW ETCH,,,,
valid_0087,HARD BAKE,,,,
valid_0088,ETCH SILICON OR OXIDE WINDOW,,,,
valid_0089,CLEAN AFTER VIA ETCH,,,,
valid_0090,STRIP PHOTORESIST,,,,
valid_0091,MEASURE VIA CD,,,,
valid_0092,DEVELOP PHOTORESIST,,,,
valid_0093,STRIP RESIST,,,,
valid_0094,STRIP PHOTORESIST,,,,
valid_0095,MEASURE VIA CD,,,,
valid_0096,STRIP PHOTORESIST,,,,
valid_0097,CLEAN AFTER VIA ETCH,,,,
valid_0098,HARD BAKE,,,,
valid_0099,PRE ANNEAL CHECK,,,,
valid_0100,CLEAN AFTER WINDOW ETCH,,,,
valid_0101,CLEAN AFTER VIA ETCH,,,,
valid_0102,STRIP PHOTORESIST,,,,
valid_0103,IMPLANT LDD,,,,
valid_0104,FIELD PATTERN INSPECTION,,,,
valid_0105,IMPLANT LDD,,,,
valid_0106,STRIP RESIST,,,,
valid_0107,ANNEAL METAL,,,,
valid_0108,PAD WINDOW LITHO,,,,
valid_0109,CLEAN AFTER VIA ETCH,,,,
valid_0110,DEVELOP PHOTORESIST,,,,
valid_0111,CLEAN AFTER VIA ETCH,,,,
valid_0112,STRIP PHOTORESIST,,,,
valid_0113,MEASURE VIA CD,,,,
valid_0114,CLEAN AFTER WINDOW ETCH,,,,
valid_0115,MEASURE VIA CD,,,,
valid_0116,STRIP RESIST,,,,
valid_0117,CLEAN AFTER VIA ETCH,,,,
valid_0118,HARD BAKE,,,,
valid_0119,DEPOSIT BARRIER METAL,,,,
valid_0120,CLEAN PAD OPENING,,,,
valid_0121,MEASURE VIA CD,,,,
valid_0122,PAD WINDOW LITHO,,,,
valid_0123,PRE ANNEAL CHECK,,,,
valid_0124,CLEAN AFTER METAL ETCH,,,,
valid_0125,MEASURE VIA CD,,,,
valid_0126,STRIP RESIST,,,,
valid_0127,CLEAN AFTER VIA ETCH,,,,
valid_0128,STRIP PHOTORESIST,,,,
valid_0129,HARD BAKE,,,,
valid_0130,DEVELOP PHOTORESIST,,,,
valid_0131,ANNEAL METAL,,,,
valid_0132,CLEAN AFTER WINDOW ETCH,,,,
valid_0133,ANNEAL METAL,,,,
valid_0134,CLEAN PAD OPENING,,,,
valid_0135,ANNEAL METAL,,,,
valid_0136,CLEAN AFTER WINDOW ETCH,,,,
valid_0137,MEASURE VIA CD,,,,
valid_0138,PAD WINDOW LITHO,,,,
valid_0139,CLEAN AFTER VIA ETCH,,,,
valid_0140,STRIP RESIST,,,,
valid_0141,IMPLANT SOURCE DRAIN,,,,
valid_0142,STRIP PHOTORESIST,,,,
valid_0143,ANNEAL METAL,,,,
valid_0144,VIA INSPECTION,,,,
valid_0145,MEASURE VIA CD,,,,
valid_0146,PAD WINDOW LITHO,,,,
valid_0147,MEASURE VIA CD,,,,
valid_0148,STRIP RESIST,,,,
valid_0149,MEASURE VIA CD,,,,
valid_0150,STRIP PHOTORESIST,,,,
valid_0151,MEASURE VIA CD,,,,
valid_0152,DEVELOP PHOTORESIST,,,,
valid_0153,MEASURE VIA CD,,,,
valid_0154,DEVELOP PHOTORESIST,,,,
valid_0155,CLEAN AFTER VIA ETCH,,,,
valid_0156,STRIP PHOTORESIST,,,,
valid_0157,IMPLANT LDD,,,,
valid_0158,PAD WINDOW LITHO,,,,
valid_0159,MEASURE VIA CD,,,,
valid_0160,STRIP PHOTORESIST,,,,
valid_0161,STRIP RESIST,,,,
valid_0162,DEVELOP PHOTORESIST,,,,
valid_0163,MEASURE VIA CD,,,,
valid_0164,STRIP PHOTORESIST,,,,
valid_0165,MEASURE VIA CD,,,,
valid_0166,STRIP PHOTORESIST,,,,
valid_0167,DEPOSIT BARRIER METAL,,,,
valid_0168,CLEAN AFTER METAL ETCH,,,,
valid_0169,STRIP RESIST,,,,
valid_0170,STRIP PHOTORESIST,,,,
valid_0171,ANNEAL METAL,,,,
valid_0172,STRIP PHOTORESIST,,,,
valid_0173,MEASURE VIA CD,,,,
valid_0174,PAD WINDOW LITHO,,,,
valid_0175,MEASURE VIA CD,,,,
valid_0176,STRIP PHOTORESIST,,,,
valid_0177,ANNEAL METAL,,,,
valid_0178,STRIP RESIST,,,,
valid_0179,ANNEAL METAL,,,,
valid_0180,MEASURE WINDOW CD,,,,
valid_0181,STRIP RESIST,,,,
valid_0182,DEVELOP PHOTORESIST,,,,
valid_0183,IMPLANT SOURCE DRAIN,,,,
valid_0184,STRIP RESIST,,,,
valid_0185,DEPOSIT BARRIER METAL,,,,
valid_0186,STRIP RESIST,,,,
valid_0187,STRIP RESIST,,,,
valid_0188,STRIP RESIST,,,,
valid_0189,MEASURE VIA CD,,,,
valid_0190,PAD WINDOW LITHO,,,,
valid_0191,METAL ETCH,,,,
valid_0192,STRIP PHOTORESIST,,,,
valid_0193,CLEAN AFTER VIA ETCH,,,,
valid_0194,VIA INSPECTION,,,,
valid_0195,MEASURE VIA CD,,,,
valid_0196,PASSIVATION ETCH,,,,
valid_0197,STRIP RESIST,,,,
valid_0198,STRIP PHOTORESIST,,,,
valid_0199,MEASURE VIA CD,,,,
valid_0200,STRIP RESIST,,,,
valid_0201,SPIN COAT PHOTORESIST,,,,
valid_0202,IMPLANT SOURCE DRAIN,,,,
valid_0203,SPIN COAT PHOTORESIST,,,,
valid_0204,IMPLANT SOURCE DRAIN,,,,
valid_0205,CMP DIELECTRIC,,,,
valid_0206,ANNEAL OXIDE,,,,
valid_0207,CMP DIELECTRIC,,,,
valid_0208,IMPLANT SOURCE DRAIN,,,,
valid_0209,CMP DIELECTRIC,,,,
valid_0210,IMPLANT SOURCE REGION,,,,
valid_0211,MEASURE SURFACE PLANARITY,,,,
valid_0212,IMPLANT SOURCE DRAIN,,,,
valid_0213,SPIN COAT PHOTORESIST,,,,
valid_0214,ANNEAL OXIDE,,,,
valid_0215,MEASURE PLANARITY,,,,
valid_0216,MEASURE FILM THICKNESS,,,,
valid_0217,CMP DIELECTRIC,,,,
valid_0218,MEASURE GEOMETRY,,,,
valid_0219,SOFT BAKE,,,,
