EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,HARD BAKE,,,,
valid_0001,YIELD ANALYSIS,,,,
valid_0002,VIA INSPECTION,,,,
valid_0003,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,,
valid_0004,STRIP RESIST,,,,
valid_0005,ALIGN MASK LEVEL 4,,,,
valid_0006,FINAL CLEAN,,,,
valid_0007,MEASURE OPENING CD,,,,
valid_0008,HARD BAKE,,,,
valid_0009,PASSIVATION ETCH PAD OPENING,,,,
valid_0010,MEASURE VIA CD,,,,
valid_0011,YIELD ANALYSIS,,,,
valid_0012,CMP DIELECTRIC,,,,
valid_0013,WAFER SURFACE CLEAN,,,,
valid_0014,BACKSIDE CLEAN,,,,
valid_0015,WET CLEAN RCA1,,,,
valid_0016,VIA ETCH,,,,
valid_0017,EXPOSE LITHO LEVEL 1,,,,
valid_0018,EXPOSE LITHO LEVEL 1,,,,
valid_0019,DEPOSIT INTERLAYER DIELECTRIC,,,,
valid_0020,WAFER SURFACE CLEAN,,,,
valid_0021,OPEN PAD WINDOW,,,,
valid_0022,MEASURE VIA CD,,,,
valid_0023,EXPOSE LITHO LEVEL 4,,,,
valid_0024,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 3,,
valid_0025,PASSIVATION ETCH PAD OPENING,,,,
valid_0026,EXPOSE LITHO LEVEL 3,,,,
valid_0027,SOFT BAKE,EXPOSE LITHO LEVEL 1,DEVELOP PHOTORESIST,,
valid_0028,CMP DIELECTRIC,,,,
valid_0029,PASSIVATION ETCH PAD OPENING,,,,
valid_0030,,,,,
valid_0031,WAFER SURFACE CLEAN,,,,
valid_0032,MEASURE OPENING CD,,,,
valid_0033,MEASURE CONTACT RESISTANCE,,,,
valid_0034,EXPOSE LITHO LEVEL 3,,,,
valid_0035,DEVELOP PAD WINDOW,,,,
valid_0036,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 3,,
valid_0037,OPEN PAD WINDOW LITHO,,,,
