EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
valid_0000,0,0.1000,
valid_0001,0,0.1000,
valid_0002,0,0.1000,
valid_0003,1,0.9000,
valid_0004,0,0.1000,
valid_0005,0,0.1000,
valid_0006,1,0.9000,
valid_0007,1,0.9000,
valid_0008,1,0.9000,
valid_0009,0,0.1000,
valid_0010,1,0.9000,
valid_0011,0,0.1000,
valid_0012,0,0.1000,
valid_0013,0,0.1000,
valid_0014,1,0.9000,
valid_0015,0,0.1000,
valid_0016,1,0.9000,
valid_0017,0,0.1000,
valid_0018,0,0.1000,
valid_0019,0,0.1000,RULE_ETCH_NO_MASK
valid_0020,0,0.1000,RULE_ETCH_NO_MASK
valid_0021,1,0.9000,
valid_0022,0,0.1000,
valid_0023,1,0.9000,
valid_0024,0,0.1000,
valid_0025,0,0.1000,
valid_0026,0,0.1000,
valid_0027,0,0.1000,
valid_0028,1,0.9000,
valid_0029,0,0.1000,
valid_0030,0,0.1000,
valid_0031,1,0.9000,
valid_0032,1,0.9000,
valid_0033,0,0.1000,
valid_0034,0,0.1000,
valid_0035,1,0.9000,
valid_0036,0,0.1000,
valid_0037,1,0.9000,
valid_0038,1,0.9000,
valid_0039,0,0.1000,
valid_0040,1,0.9000,
valid_0041,0,0.1000,
valid_0042,1,0.9000,
valid_0043,0,0.1000,
valid_0044,0,0.1000,
valid_0045,1,0.9000,
valid_0046,1,0.9000,
valid_0047,0,0.1000,
valid_0048,0,0.1000,
valid_0049,1,0.9000,
valid_0050,0,0.1000,
valid_0051,0,0.1000,
valid_0052,0,0.1000,
valid_0053,1,0.9000,
valid_0054,1,0.9000,
valid_0055,0,0.1000,
valid_0056,0,0.1000,
valid_0057,0,0.1000,
valid_0058,0,0.1000,
valid_0059,1,0.9000,
valid_0060,0,0.1000,
valid_0061,0,0.1000,
valid_0062,0,0.1000,
valid_0063,0,0.1000,
valid_0064,1,0.9000,
valid_0065,0,0.1000,
valid_0066,0,0.1000,
valid_0067,1,0.9000,
valid_0068,0,0.1000,
valid_0069,0,0.1000,
valid_0070,0,0.1000,
valid_0071,1,0.9000,
valid_0072,0,0.1000,
valid_0073,0,0.1000,
valid_0074,1,0.9000,
valid_0075,0,0.1000,
valid_0076,0,0.1000,
valid_0077,0,0.1000,
valid_0078,0,0.1000,
valid_0079,0,0.1000,
valid_0080,0,0.1000,
valid_0081,1,0.9000,
valid_0082,0,0.1000,
valid_0083,0,0.1000,
valid_0084,0,0.1000,
valid_0085,0,0.1000,
valid_0086,0,0.1000,
valid_0087,1,0.9000,
valid_0088,0,0.1000,
valid_0089,0,0.1000,
valid_0090,1,0.9000,
valid_0091,0,0.1000,
valid_0092,1,0.9000,
valid_0093,0,0.1000,
valid_0094,0,0.1000,
valid_0095,1,0.9000,
valid_0096,0,0.1000,
valid_0097,0,0.1000,
valid_0098,0,0.1000,
valid_0099,1,0.9000,
forbidden_0100,0,0.1000,
forbidden_0101,0,0.1000,
forbidden_0102,0,0.1000,
forbidden_0103,1,0.9000,
forbidden_0104,0,0.1000,
forbidden_0105,1,0.9000,
forbidden_0106,1,0.9000,
forbidden_0107,1,0.9000,
forbidden_0108,0,0.1000,
forbidden_0109,1,0.9000,
forbidden_0110,0,0.1000,
forbidden_0111,0,0.1000,
forbidden_0112,0,0.1000,
forbidden_0113,0,0.1000,
forbidden_0114,0,0.1000,
forbidden_0115,1,0.9000,
forbidden_0116,1,0.9000,
forbidden_0117,0,0.1000,
forbidden_0118,0,0.1000,
forbidden_0119,0,0.1000,RULE_ETCH_NO_MASK
forbidden_0120,1,0.9000,
forbidden_0121,0,0.1000,
forbidden_0122,0,0.1000,
forbidden_0123,1,0.9000,
forbidden_0124,0,0.1000,
forbidden_0125,0,0.1000,
forbidden_0126,0,0.1000,
forbidden_0127,0,0.1000,
forbidden_0128,0,0.1000,
forbidden_0129,0,0.1000,
forbidden_0130,0,0.1000,
forbidden_0131,0,0.1000,
forbidden_0132,1,0.9000,
forbidden_0133,0,0.1000,
forbidden_0134,0,0.1000,
forbidden_0135,0,0.1000,
forbidden_0136,0,0.1000,
forbidden_0137,1,0.9000,
forbidden_0138,0,0.1000,
