EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0000,MEASURE VIA CD
valid_0001,DEVELOP PHOTORESIST
valid_0002,MEASURE VIA CD
valid_0003,HARD BAKE
valid_0004,CLEAN AFTER VIA ETCH
valid_0005,HARD BAKE
valid_0006,MEASURE VIA CD
valid_0007,ETCH SILICON OR OXIDE WINDOW
valid_0008,CLEAN AFTER VIA ETCH
valid_0009,STRIP RESIST
valid_0010,IMPLANT LDD
valid_0011,HARD BAKE
valid_0012,STRIP RESIST
valid_0013,STRIP RESIST
valid_0014,CLEAN AFTER VIA ETCH
valid_0015,CLEAN AFTER WINDOW ETCH
valid_0016,STRIP RESIST
valid_0017,HARD BAKE
valid_0018,CLEAN AFTER VIA ETCH
valid_0019,STRIP PHOTORESIST
valid_0020,CLEAN AFTER VIA ETCH
valid_0021,STRIP PHOTORESIST
valid_0022,IMPLANT LDD
valid_0023,STRIP PHOTORESIST
valid_0024,MEASURE VIA CD
valid_0025,STRIP RESIST
valid_0026,MEASURE VIA CD
valid_0027,STRIP RESIST
valid_0028,IMPLANT LDD
valid_0029,IMPLANT LDD
valid_0030,MEASURE VIA CD
valid_0031,CLEAN AFTER WINDOW ETCH
valid_0032,MEASURE VIA CD
valid_0033,HARD BAKE
valid_0034,MEASURE VIA CD
valid_0035,HARD BAKE
valid_0036,MEASURE VIA CD
valid_0037,HARD BAKE
valid_0038,MEASURE VIA CD
valid_0039,IMPLANT LDD
valid_0040,CLEAN AFTER VIA ETCH
valid_0041,ETCH SILICON OR OXIDE WINDOW
valid_0042,STRIP RESIST
valid_0043,STRIP PHOTORESIST
valid_0044,HARD BAKE
valid_0045,HARD BAKE
valid_0046,CLEAN AFTER VIA ETCH
valid_0047,STRIP RESIST
valid_0048,HARD BAKE
valid_0049,DEVELOP PHOTORESIST
valid_0050,HARD BAKE
valid_0051,DEVELOP PHOTORESIST
valid_0052,MEASURE VIA CD
valid_0053,STRIP RESIST
valid_0054,MEASURE VIA CD
valid_0055,MEASURE WINDOW CD
valid_0056,MEASURE VIA CD
valid_0057,STRIP RESIST
valid_0058,MEASURE VIA CD
valid_0059,HARD BAKE
valid_0060,MEASURE VIA CD
valid_0061,CLEAN PAD OPENING
valid_0062,MEASURE VIA CD
valid_0063,CLEAN AFTER POLY ETCH
valid_0064,IMPLANT LDD
valid_0065,ETCH SILICON OR OXIDE WINDOW
valid_0066,MEASURE VIA CD
valid_0067,ETCH SILICON OR OXIDE WINDOW
valid_0068,STRIP RESIST
valid_0069,ETCH SILICON OR OXIDE WINDOW
valid_0070,CLEAN AFTER VIA ETCH
valid_0071,CLEAN PAD OPENING
valid_0072,IMPLANT LDD
valid_0073,STRIP RESIST
valid_0074,CLEAN AFTER VIA ETCH
valid_0075,HARD BAKE
valid_0076,MEASURE VIA CD
